route,x,y
SEA-SNA,-3.3683943789618245,26.694531820544597
SNA-PDX,-32.38279989651243,-23.179223513261835
SNA-SEA,5.6451665186784075,26.085720323121794
BUR-SEA,19.03547209914543,24.586437845661976
SEA-ORD,11.082994253731377,23.593728761377413
SEA-SJC,0.18073780849273263,26.65708426195582
SEA-SLC,-0.6941673056205759,34.131489065226106
SEA-MSP,17.16195983534666,35.29186635402335
SEA-OAK,-5.819446829712467,34.02138121555041
SEA-SFO,-0.23468575770324948,19.233970050853824
SEA-MSY,25.88528816570279,34.6010439510202
SEA-LIH,-5.29646730797976,24.974518362642595
SEA-JNU,14.365241692294141,12.386955620406447
SEA-OGG,14.689298521301689,18.91384964131658
SEA-BUR,7.852863006304457,36.84368625477601
SEA-PDX,-7.060397416573261,13.88338521766216
SEA-LAX,-4.554578684776063,20.48229346050968
SEA-MCI,20.539894590223685,44.227789863333655
SEA-LAS,2.3237649689096904,21.955469705019162
SEA-MCO,-5.243838090904721,40.51847250636442
SEA-FLL,-8.881909444853036,41.24648308768443
SEA-KTN,12.988063089440146,7.242608500498136
SEA-SIT,11.944045426017885,2.1413048886119865
SEA-PHL,7.666935341818049,47.16003363588467
SEA-SMF,14.984625375908216,30.33515853418566
SEA-KOA,21.50885105340423,32.59770075071098
SEA-DEN,10.429531809017467,37.428373082728996
SEA-PHX,2.144078227051051,27.874700702578906
SEA-PSP,-0.10976426884858387,16.31025618616591
SEA-DCA,-8.352251716267437,33.83229380192467
SEA-STL,27.087803333628425,24.46648742056739
SEA-IAH,29.01001019110135,28.89850107154791
SEA-ONT,0.5853090285319352,38.49518477914261
SEA-FAI,12.032624235589894,26.909836185387707
SEA-EWR,8.02355040792818,43.85915158089527
SEA-GEG,5.758508297427431,33.50924361582334
SEA-SAN,-3.709515285884227,29.268728010770875
SEA-ANC,17.794202857807118,12.655448838309729
SEA-TUS,21.058764189647857,40.98266246870833
SEA-DTW,13.191689520196695,46.66779533185576
SEA-HNL,-9.618076134440926,30.08301030657233
SEA-ATL,16.809395753478196,45.22839193664499
SJC-SEA,14.379992252833544,22.69173672526822
SEA-DFW,-3.631902293367932,35.04845330515003
SEA-BLI,-17.5194391424737,19.611626198863352
SEA-BOS,-5.124593224992308,38.05911470072186
SEA-IAD,4.563348616108196,49.79640542495652
SEA-AUS,25.675319153198213,38.07043553547336
SEA-SAT,30.844898316956264,36.4497067385103
IAD-SEA,3.2133448863878624,46.10726487933962
SIT-JNU,16.85731326280376,-29.426431774148256
JNU-SEA,13.460703525294852,14.921636051522464
JNU-SIT,1.6499733500607254,-31.54607291192653
JNU-ANC,33.17232999067432,-21.491508295878567
