Airline,Departure,Arrival,NoControl,LQR,Saved
UA,IAD,SFO,645.6271082103052,375.35827159118753,270.2688366191177
UA,AUS,ORD,435.565641989799,156.01570215990432,279.5499398298947
UA,SEA,SFO,849.4974709702082,128.14076357333556,721.3567073968726
UA,PHX,EWR,360.1102369758878,217.3325268932985,142.7777100825893
UA,CLE,IAH,246.73616379589998,91.46059302238993,155.27557077351005
UA,ANC,ORD,1587.286532841024,1056.337128167327,530.949404673697
UA,IAH,EWR,905.2379357335332,333.08077968178094,572.1571560517523
UA,IAH,SEA,760.215739205543,414.6139313746893,345.60180783085366
UA,SFO,PIT,408.89706885359,300.0386079358833,108.85846091770668
UA,DTW,ORD,603.3433750120907,68.23718567806725,535.1061893340235
UA,DEN,MSN,1056.6152683117193,147.5513883034393,909.06388000828
UA,DEN,MSP,589.333207600607,130.79035820259742,458.5428493980096
UA,PDX,IAH,372.5537237715789,175.9906088487401,196.56311492283882
UA,DFW,EWR,861.3913291189721,213.43433310934583,647.9569960096262
UA,EWR,PHX,827.7926641689462,641.1725037996032,186.620160369343
UA,ATL,SFO,784.9681211343913,523.3494937248447,261.61862740954655
UA,DEN,MSY,656.2852543908285,193.62850577532907,462.65674861549945
UA,SFO,ORD,910.7011499934729,402.4519448841609,508.24920510931196
UA,ROC,ORD,667.8518677522687,95.4218772416643,572.4299905106044
UA,ORD,SFO,1218.9997040808712,523.2396524760497,695.7600516048215
UA,EWR,FLL,789.7875848404698,279.30903854125324,510.47854629921653
UA,BQN,EWR,2203.5226152980026,479.7829115474692,1723.7397037505334
UA,IND,ORD,665.9258649838579,55.669829865558256,610.2560351182997
UA,SLC,DEN,538.2488669035895,80.35703564589139,457.8918312576981
UA,EWR,MSY,929.578813505066,323.08883547434783,606.4899780307182
UA,IAD,SAN,388.0757361625348,255.59412958251806,132.48160658001672
UA,EWR,LAX,945.0922106324764,609.8352221226614,335.25698850981496
UA,IAH,PDX,590.5926036025468,369.63176205263,220.96084154991678
UA,IAH,DFW,971.0888251394538,135.0449790578786,836.0438460815751
UA,CMH,DEN,475.6650144601568,173.0091056082907,302.6559088518661
UA,ORD,FLL,542.5366946584984,204.23833930163806,338.2983553568603
UA,EWR,LAS,861.6675948707951,484.5947674929321,377.07282737786306
UA,RSW,DEN,418.1422897362332,296.5300301653525,121.61225957088067
UA,DEN,PHL,669.4905699018681,324.3309025934031,345.159667308465
UA,SFO,LAX,941.0920153318755,135.6388995968839,805.4531157349916
UA,DEN,PHX,727.6022941962158,176.358867482088,551.2434267141277
UA,EWR,CLE,991.6272287995429,137.37619433173955,854.2510344678033
UA,LAX,DEN,654.8904934913454,183.7291662409058,471.1613272504396
UA,ORD,ICT,894.9915953511882,179.41664113122357,715.5749542199646
UA,DFW,IAD,665.4527743149898,216.17465698696603,449.27811732802377
UA,EWR,SAN,565.5721695023473,456.4566177178574,109.11555178448987
UA,DSM,ORD,928.4238877522063,90.1001466297629,838.3237411224434
UA,ORD,STL,1587.8451135032296,128.70874144556387,1459.1363720576658
UA,DFW,IAH,539.6886081881654,38.391939656975644,501.29666853118977
UA,EWR,SAT,1514.3333378040165,565.9508399969733,948.3824978070433
UA,BNA,IAH,679.5244949595872,90.64757131034658,588.8769236492406
UA,BZN,ORD,793.1303918188456,229.60467152239238,563.5257202964533
UA,CLE,LAX,503.1974805667139,308.25782179980047,194.93965876691345
UA,TPA,CLE,108.24951466840787,48.946561085522596,59.30295358288527
UA,CLE,LAS,530.4764703280961,197.23141893170643,333.2450513963896
UA,SFO,SEA,861.9268530021175,176.3902044143864,685.5366485877311
UA,EWR,SFO,949.9021242146043,605.0916501974386,344.8104740171657
UA,PIT,IAH,547.0935886289761,182.04577261966799,365.0478160093081
UA,IAH,PIT,736.3844573277806,215.5016112311022,520.8828460966785
UA,STL,SFO,1579.9769041540608,657.6758481599193,922.3010559941415
UA,PIT,SFO,319.71175464513186,288.36952810188336,31.3422265432485
UA,OGG,SFO,668.0699385833556,335.23859933630956,332.831339247046
UA,IND,IAH,339.3913375733753,139.2584137258764,200.13292384749892
UA,ATL,IAH,1068.9472992857825,178.46253411712377,890.4847651686587
UA,SEA,DEN,720.7084870543131,186.3156880686341,534.392798985679
UA,DEN,LAX,1009.3249435553168,259.2001620877398,750.1247814675771
UA,IAH,IAD,759.8332101644185,247.92827908122698,511.9049310831915
UA,DEN,LAS,647.169670384392,151.7746784953983,495.39499188899373
UA,LAX,JFK,384.3285499781114,229.34035544863252,154.9881945294789
UA,DEN,SFO,862.9138164790576,217.7593472279783,645.1544692510793
UA,SFO,MSP,895.3197116220871,547.5051126720914,347.8145989499957
UA,DEN,ABQ,902.7189106707971,113.55126697504002,789.1676436957571
UA,SFO,MSY,824.1675724921382,430.3940453147841,393.77352717735414
UA,DEN,BOS,760.394058630786,317.4958540851956,442.89820454559043
UA,DEN,BOI,846.3005739981439,193.4929630538246,652.8076109443193
UA,SFO,SLC,886.3670663179067,157.33305960378095,729.0340067141258
UA,ORD,BWI,1003.1239709366083,196.2779838737498,806.8459870628585
UA,LAX,BOS,362.57939606099256,324.6687572785876,37.91063878240499
UA,IAD,BOS,746.4529681729863,94.4443180921333,652.0086500808529
UA,EWR,ATL,808.2216800630472,225.0942307458597,583.1274493171875
UA,LAX,LIH,839.0028132500792,470.3962490657482,368.606564184331
