flight1,flight2
SEA-SNA,SNA-PDX
SEA-SNA,SNA-SEA
BUR-SEA,SEA-SNA
BUR-SEA,SEA-ORD
BUR-SEA,SEA-SJC
BUR-SEA,SEA-SLC
BUR-SEA,SEA-MSP
BUR-SEA,SEA-OAK
BUR-SEA,SEA-SFO
BUR-SEA,SEA-MSY
BUR-SEA,SEA-LIH
BUR-SEA,SEA-JNU
BUR-SEA,SEA-OGG
BUR-SEA,SEA-BUR
BUR-SEA,SEA-PDX
BUR-SEA,SEA-LAX
BUR-SEA,SEA-MCI
BUR-SEA,SEA-LAS
BUR-SEA,SEA-MCO
BUR-SEA,SEA-FLL
BUR-SEA,SEA-KTN
BUR-SEA,SEA-SIT
BUR-SEA,SEA-PHL
BUR-SEA,SEA-SMF
BUR-SEA,SEA-KOA
BUR-SEA,SEA-DEN
BUR-SEA,SEA-PHX
BUR-SEA,SEA-PSP
BUR-SEA,SEA-DCA
BUR-SEA,SEA-STL
BUR-SEA,SEA-IAH
BUR-SEA,SEA-ONT
BUR-SEA,SEA-FAI
BUR-SEA,SEA-EWR
BUR-SEA,SEA-GEG
BUR-SEA,SEA-SAN
BUR-SEA,SEA-ANC
BUR-SEA,SEA-TUS
BUR-SEA,SEA-DTW
BUR-SEA,SEA-HNL
BUR-SEA,SEA-ATL
SJC-SEA,SEA-DFW
SJC-SEA,SEA-SNA
SJC-SEA,SEA-ORD
SJC-SEA,SEA-SJC
SJC-SEA,SEA-SLC
SJC-SEA,SEA-MSP
SJC-SEA,SEA-OAK
SJC-SEA,SEA-SFO
SJC-SEA,SEA-MSY
SJC-SEA,SEA-LIH
SJC-SEA,SEA-JNU
SJC-SEA,SEA-BLI
SJC-SEA,SEA-IAH
SJC-SEA,SEA-OGG
SJC-SEA,SEA-BUR
SJC-SEA,SEA-PDX
SJC-SEA,SEA-LAX
SJC-SEA,SEA-MCI
SJC-SEA,SEA-LAS
SJC-SEA,SEA-MCO
SJC-SEA,SEA-FLL
SJC-SEA,SEA-KTN
SJC-SEA,SEA-SIT
SJC-SEA,SEA-PHL
SJC-SEA,SEA-SMF
SJC-SEA,SEA-BOS
SJC-SEA,SEA-KOA
SJC-SEA,SEA-DEN
SJC-SEA,SEA-PHX
SJC-SEA,SEA-PSP
SJC-SEA,SEA-IAD
SJC-SEA,SEA-DCA
SJC-SEA,SEA-STL
SJC-SEA,SEA-AUS
SJC-SEA,SEA-ONT
SJC-SEA,SEA-FAI
SJC-SEA,SEA-EWR
SJC-SEA,SEA-GEG
SJC-SEA,SEA-SAN
SJC-SEA,SEA-ANC
SJC-SEA,SEA-TUS
SJC-SEA,SEA-DTW
SJC-SEA,SEA-HNL
SJC-SEA,SEA-ATL
SJC-SEA,SEA-SAT
SEA-IAD,IAD-SEA
SIT-JNU,JNU-SEA
SIT-JNU,JNU-SIT
SIT-JNU,JNU-ANC
SIT-JNU,JNU-KTN
PDX-BOS,BOS-SAN
SEA-SFO,SFO-PDX
SEA-SFO,SFO-PSP
SEA-SFO,SFO-SLC
SEA-SFO,SFO-SEA
ORD-SEA,SEA-DFW
ORD-SEA,SEA-SNA
ORD-SEA,SEA-ORD
ORD-SEA,SEA-SJC
ORD-SEA,SEA-SLC
ORD-SEA,SEA-MSP
ORD-SEA,SEA-OAK
ORD-SEA,SEA-SFO
ORD-SEA,SEA-DCA
ORD-SEA,SEA-MSY
ORD-SEA,SEA-LIH
ORD-SEA,SEA-JNU
ORD-SEA,SEA-BLI
ORD-SEA,SEA-AUS
ORD-SEA,SEA-BUR
ORD-SEA,SEA-LAX
ORD-SEA,SEA-MCI
ORD-SEA,SEA-LAS
ORD-SEA,SEA-MCO
ORD-SEA,SEA-FLL
ORD-SEA,SEA-KTN
ORD-SEA,SEA-SIT
ORD-SEA,SEA-PHL
ORD-SEA,SEA-SMF
ORD-SEA,SEA-BOS
ORD-SEA,SEA-KOA
ORD-SEA,SEA-DEN
