Airline,Departure,Arrival,Cost
UA,ABQ,DEN,0.0
UA,ABQ,IAH,6264.16
UA,ALB,ORD,0.0
UA,ANC,DEN,0.0
UA,ANC,IAH,0.0
UA,ANC,ORD,0.0
UA,ANC,SFO,3945.8066666666664
UA,ATL,DEN,5380.863541666667
UA,ATL,EWR,0.0
UA,ATL,IAH,4935.56724137931
UA,ATL,ORD,0.0
UA,ATL,SFO,0.0
UA,AUS,DEN,0.0
UA,AUS,EWR,5498.575141242937
UA,AUS,IAH,5781.293177387914
UA,AUS,ORD,0.0
UA,AUS,SFO,0.0
UA,BDL,IAD,0.0
UA,BDL,ORD,0.0
UA,BIL,DEN,0.0
UA,BNA,DEN,0.0
UA,BNA,IAH,5516.731818181817
UA,BNA,ORD,0.0
UA,BOI,DEN,6071.455982905984
UA,BOS,DEN,0.0
UA,BOS,EWR,0.0
UA,BOS,IAD,0.0
UA,BOS,IAH,0.0
UA,BOS,LAX,0.0
UA,BOS,ORD,0.0
UA,BOS,SFO,0.0
UA,BQN,EWR,0.0
UA,BUF,ORD,0.0
UA,BWI,DEN,4268.368827160494
UA,BWI,IAH,0.0
UA,BWI,LAX,0.0
UA,BWI,ORD,0.0
UA,BZN,DEN,0.0
UA,BZN,EWR,5048.884615384615
UA,BZN,ORD,0.0
UA,CLE,DEN,0.0
UA,CLE,EWR,0.0
UA,CLE,FLL,0.0
UA,CLE,IAH,4440.084946236559
UA,CLE,LAS,0.0
UA,CLE,LAX,0.0
UA,CLE,ORD,0.0
UA,CLE,SFO,0.0
UA,CLT,ORD,0.0
UA,CMH,DEN,4668.625438596491
UA,CMH,ORD,0.0
UA,DCA,DEN,0.0
UA,DCA,IAH,0.0
UA,DCA,ORD,5117.189527458493
UA,DEN,ABQ,0.0
UA,DEN,ANC,3461.5960784313725
UA,DEN,ATL,0.0
UA,DEN,AUS,0.0
UA,DEN,BIL,0.0
UA,DEN,BOI,0.0
UA,DEN,BOS,0.0
UA,DEN,BWI,0.0
UA,DEN,BZN,0.0
UA,DEN,CLE,0.0
UA,DEN,DCA,0.0
UA,DEN,DFW,4336.618787878788
UA,DEN,DSM,0.0
UA,DEN,DTW,0.0
UA,DEN,EWR,0.0
UA,DEN,FLL,0.0
UA,DEN,GEG,3597.444827586207
UA,DEN,GRR,0.0
UA,DEN,HNL,3841.150458715596
UA,DEN,IAD,0.0
UA,DEN,IAH,0.0
UA,DEN,ICT,0.0
UA,DEN,IND,0.0
UA,DEN,JAC,0.0
UA,DEN,LAS,0.0
UA,DEN,LAX,0.0
UA,DEN,LGA,0.0
UA,DEN,MCO,0.0
UA,DEN,MIA,0.0
UA,DEN,MSN,0.0
UA,DEN,MSP,0.0
UA,DEN,MSY,0.0
UA,DEN,OKC,0.0
UA,DEN,OMA,4058.951051051051
UA,DEN,ORD,0.0
UA,DEN,PDX,0.0
UA,DEN,PHL,0.0
UA,DEN,PHX,0.0
UA,DEN,PIT,0.0
UA,DEN,PSP,0.0
UA,DEN,RNO,0.0
UA,DEN,SAN,0.0
UA,DEN,SAT,0.0
UA,DEN,SEA,0.0
UA,DEN,SFO,0.0
UA,DEN,SJC,0.0
UA,DEN,SLC,0.0
UA,DEN,SMF,0.0
UA,DEN,SNA,0.0
UA,DEN,STL,0.0
UA,DEN,TPA,0.0
UA,DEN,TUL,0.0
UA,DFW,DEN,0.0
UA,DFW,EWR,0.0
UA,DFW,IAD,0.0
UA,DFW,IAH,0.0
UA,DFW,ORD,0.0
UA,DFW,SFO,0.0
UA,DSM,DEN,5811.236666666667
UA,DSM,ORD,5361.384000000001
UA,DTW,DEN,0.0
UA,DTW,IAH,0.0
UA,DTW,ORD,0.0
UA,EGE,EWR,6026.183333333333
UA,EGE,IAH,3784.5966666666664
UA,EWR,ATL,0.0
UA,EWR,AUS,0.0
UA,EWR,BOS,0.0
UA,EWR,BQN,0.0
UA,EWR,BZN,4723.407843137255
UA,EWR,CLE,0.0
UA,EWR,DEN,4165.236347975882
UA,EWR,DFW,5082.067910447761
UA,EWR,FLL,0.0
UA,EWR,IAH,0.0
UA,EWR,LAS,5167.219166666666
UA,EWR,LAX,0.0
UA,EWR,MCO,4446.621489001692
UA,EWR,MIA,0.0
UA,EWR,MSP,5316.977435897436
UA,EWR,MSY,0.0
UA,EWR,ORD,0.0
UA,EWR,PBI,4423.863701923077
UA,EWR,PDX,0.0
UA,EWR,PHX,0.0
UA,EWR,RDU,0.0
UA,EWR,RSW,0.0
UA,EWR,SAN,0.0
UA,EWR,SAT,5821.848529411765
UA,EWR,SEA,0.0
UA,EWR,SFO,0.0
UA,EWR,SJU,0.0
UA,EWR,SNA,3585.0033333333336
UA,EWR,TPA,0.0
UA,FAI,ORD,5508.9222222222215
UA,FLL,CLE,0.0
UA,FLL,DEN,0.0
UA,FLL,EWR,0.0
UA,FLL,IAH,0.0
UA,FLL,ORD,0.0
UA,FLL,SFO,0.0
UA,GEG,DEN,0.0
UA,GRR,ORD,0.0
UA,HDN,EWR,9826.133333333333
UA,HDN,IAH,0.0
UA,HNL,DEN,0.0
UA,HNL,EWR,0.0
UA,HNL,GUM,0.0
UA,HNL,IAD,0.0
UA,HNL,IAH,0.0
UA,HNL,LAX,0.0
UA,HNL,ORD,0.0
UA,HNL,SFO,0.0
UA,IAD,ATL,0.0
UA,IAD,AUS,0.0
UA,IAD,BDL,0.0
UA,IAD,BOS,0.0
UA,IAD,DEN,0.0
UA,IAD,DFW,0.0
UA,IAD,EWR,0.0
UA,IAD,HNL,0.0
UA,IAD,IAH,0.0
UA,IAD,LAS,0.0
UA,IAD,LAX,0.0
UA,IAD,MCO,0.0
UA,IAD,ORD,0.0
UA,IAD,PDX,0.0
UA,IAD,PHX,0.0
UA,IAD,RDU,0.0
UA,IAD,SAN,0.0
UA,IAD,SEA,0.0
UA,IAD,SFO,4702.238095238095
UA,IAD,SJU,0.0
UA,IAD,SMF,0.0
UA,IAD,TPA,0.0
UA,IAH,ATL,0.0
UA,IAH,AUS,0.0
UA,IAH,BNA,0.0
UA,IAH,BOS,0.0
UA,IAH,BWI,0.0
UA,IAH,CLE,0.0
UA,IAH,DCA,4503.9565040650405
UA,IAH,DEN,0.0
UA,IAH,DFW,4169.618055555556
UA,IAH,EWR,0.0
UA,IAH,FLL,0.0
UA,IAH,HNL,0.0
UA,IAH,IAD,0.0
UA,IAH,IND,0.0
UA,IAH,JAC,0.0
UA,IAH,LAS,0.0
UA,IAH,LAX,0.0
UA,IAH,LGA,0.0
UA,IAH,MCI,0.0
UA,IAH,MCO,0.0
UA,IAH,MFE,0.0
UA,IAH,MIA,0.0
UA,IAH,MSY,0.0
UA,IAH,OKC,0.0
UA,IAH,OMA,0.0
UA,IAH,ORD,0.0
UA,IAH,PBI,0.0
