Airline,Departure,Arrival,NoControl,LQR,Saved
UA,IAD,SFO,674.0889684764899,689.8804643600524,-15.791495883562561
UA,AUS,ORD,444.8364106518481,290.58802630828774,154.24838434356036
UA,SEA,SFO,946.5901717514041,192.4521096885916,754.1380620628125
UA,PHX,EWR,366.76970405266405,405.2530718096367,-38.483367756972655
UA,CLE,IAH,247.86582271960842,172.42320063775452,75.4426220818539
UA,ANC,ORD,1651.37680201213,1900.812245414295,-249.435443402165
UA,IAH,EWR,961.4725256233862,585.1347967519976,376.33772887138866
UA,IAH,SEA,784.2195848168716,757.873700972844,26.34588384402764
UA,SFO,PIT,411.58700090553947,587.196940849979,-175.60993994443953
UA,DTW,ORD,623.144484084434,135.0321525370312,488.1123315474028
UA,DEN,MSN,1061.1883542176665,302.15268691588784,759.0356673017786
UA,DEN,MSP,602.7092192561838,252.08409386789944,350.62512538828435
UA,PDX,IAH,381.46398877566315,315.0696761810368,66.39431259462634
UA,DFW,EWR,927.5192834880424,354.86277491289195,572.6565085751505
UA,EWR,PHX,833.205874355698,1282.840347772563,-449.63447341686503
UA,ATL,SFO,835.5983829411363,966.5293996080052,-130.9310166668689
UA,DEN,MSY,668.8787714004679,362.27879393636516,306.5999774641028
UA,SFO,ORD,966.4306820502285,698.7958122935863,267.63486975664216
UA,ROC,ORD,696.8397693592161,182.34453330963595,514.4952360495802
UA,ORD,SFO,1411.1403387994199,805.8872951542592,605.2530436451607
UA,EWR,FLL,810.7848595964576,515.45369838218,295.3311612142776
UA,BQN,EWR,2539.7495175671584,726.1704124543005,1813.5791051128579
UA,IND,ORD,734.1306258667057,91.34246941206194,642.7881564546437
UA,SLC,DEN,546.1309675332102,161.01128305438561,385.1196844788246
UA,EWR,MSY,946.2182702826482,608.0896569079774,338.12861337467075
UA,IAD,SAN,394.42660375087877,489.62591890246756,-95.19931515158879
UA,EWR,LAX,992.4004810535071,1127.1941576829763,-134.79367662946925
UA,IAH,PDX,598.039973374546,700.2728167861322,-102.23284341158626
UA,IAH,DFW,985.1416215990519,274.02300855685723,711.1186130421946
UA,CMH,DEN,482.8267471621145,325.79598760261354,157.03075955950095
UA,ORD,FLL,553.6322577796367,379.3426319745471,174.2896258050896
UA,EWR,LAS,883.2208832840925,897.7233641578256,-14.502480873733134
UA,RSW,DEN,419.27581345641727,575.2122891865079,-155.9364757300906
UA,DEN,PHL,681.4564688821089,604.7255091559387,76.73095972617023
UA,SFO,LAX,1071.0404404635347,216.7873518519945,854.2530886115402
UA,DEN,PHX,739.4123802678855,340.240030608872,399.1723496590135
UA,EWR,CLE,1033.5789872205646,267.25473644064266,766.324250779922
UA,LAX,DEN,669.0733469873508,344.6397551101355,324.43359187721524
UA,ORD,ICT,896.928051402753,365.21921641791045,531.7088349848425
UA,DFW,IAD,666.7535134599635,418.38516543614986,248.36834802381367
UA,EWR,SAN,569.0871873241334,921.5765374608995,-352.4893501367661
UA,DSM,ORD,985.5734302964057,172.73117142491358,812.8422588714922
UA,ORD,STL,1589.5834129150767,275.2353512132823,1314.3480617017944
UA,DFW,IAH,547.6358790186354,80.36026366042532,467.2756153582101
